Longitude,Latitude,Download,Upload,Time
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,2,1.64473E+12
121.47086,-30.78251,3875,119,1.64473E+12
121.47086,-30.78251,6327,107,1.64473E+12
121.47086,-30.78251,11577,176,1.64473E+12
121.47086,-30.78251,13499,160,1.64473E+12
121.47086,-30.78251,9492,152,1.64473E+12
121.47086,-30.78251,8838,121,1.64473E+12
121.47086,-30.78251,11095,143,1.64473E+12
121.47086,-30.78251,13002,167,1.64473E+12
121.47086,-30.78251,7584,118,1.64473E+12
121.47086,-30.78251,11002,146,1.64473E+12
121.47086,-30.78251,9466,110,1.64473E+12
121.47086,-30.78251,11175,285,1.64473E+12
121.47086,-30.78251,136,8437,1.64473E+12
121.47086,-30.78251,223,8094,1.64473E+12
121.47086,-30.78251,105,6271,1.64473E+12
121.47086,-30.78251,89,5227,1.64473E+12
121.47086,-30.78251,103,6156,1.64473E+12
121.47086,-30.78251,101,6156,1.64473E+12
121.47086,-30.78251,103,6099,1.64473E+12
121.47086,-30.78251,97,6219,1.64473E+12
121.47086,-30.78251,97,5309,1.64473E+12
121.47086,-30.78251,87,5308,1.64473E+12
121.47086,-30.78251,99,5313,1.64473E+12
121.47086,-30.78251,89,5308,1.64473E+12
121.47086,-30.78251,92,3,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,2,1.64473E+12
121.47086,-30.78251,2,2,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,5,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,2,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,0,1.64473E+12
121.47086,-30.78251,0,2,1.64473E+12
121.47086,-30.78251,2736,85,1.64473E+12
121.47086,-30.78251,11856,270,1.64473E+12
